流水,華語,台語,台羅,備存對照
488,上課,讀冊,tha̍k-tsheh,13266
489,上輩,頂勻,tíng-ûn,8044
490,上輩子,頂世人,tíng-sì-lâng,8053
491,上學,上課,siōng-khò,527
492,上學,讀冊,tha̍k-tsheh,13266
493,上頭,頂懸,tíng-kuân,8107
494,上戲,起鼓,khí-kóo,6787
495,上聲,上聲,sióng-siann,552
496,上臂,手股,tshiú-kóo,990
497,上櫃,上櫃,tsiūnn-kuī,51926
498,上顎,頂𦜆,tíng-ham,8039
499,下,下,ē,175
500,下,下,hā,176
501,下,落,lo̍h,9895
502,下山,下山,hā-san,234
503,下工,放工,pàng-kang,3991
504,下元,下元,Hā-guân,247
505,下元節,下元,Hā-guân,247
506,下午,下午,hā-ngóo,259
507,下午,下晝,ē-tàu,439
508,下午,下晡,ē-poo,440
509,下巴,下𦜆,ē-ham,217
510,下巴,下頦,ē-hâi,535
511,下巴,下顎,ē-kok,559
512,下巴,喙下斗,tshuì-ē-táu,8208
513,下巴長,戽斗的,hòo-táu--ê,3910
514,下巴脫臼,落下頦,làu-ē-hâi,9905
515,下手,下手,hē-tshiú,260
516,下手,落手,lo̍h-tshiú,9912
517,下水,下水,hā-suí,262
518,下水,落水,lo̍h-tsuí,9913
519,下水湯,下水湯,hā-suí-thng,278
520,下水道,臭溝仔,tshàu-kau-á,6616
521,下世,來世,lâi-sè,3551
522,下令,下令,hā-līng,53360
523,下半夜,下半暝,ē-puànn-mê/ē-puànn-mî,294
524,下半夜,暝尾,mê-bué/mî-bé,10575
525,下去,落去,lo̍h-khì,9923
526,下台,下台,hā-tâi,53361
527,下本錢,填本,thiām-pún,9400
528,下本錢,落本,lo̍h-pún,9925
529,下回,下擺,ē-pái,556
530,下回,後擺,āu-pái,4990
531,下旬,下旬,hā-sûn,51184
532,下次,下擺,ē-pái,556
533,下次,後擺,āu-pái,4990
534,下車,落車,lo̍h-tshia,9940
535,下來,落來,lo̍h-lâi,9942
536,下坡,落崎,lo̍h-kiā,9970
537,下帖子,放帖仔,pàng-thiap-á,4046
538,下林仔,下林仔,Ē-nâ-á,40022
539,下注,落注,lo̍h-tù,9946
540,下雨,落雨,lo̍h-hōo,9950
541,下雨天,雨來天,hōo-lâi-thinn,4565
542,下垂,下垂,hā-suî,53929
543,下毒,放毒,pàng-to̍k,4072
544,下流,垃圾鬼,lah-sap-kuí,3793
545,下降,下降,hā-kàng,50479
546,下面,下底,ē-té/ē-tué,365
547,下面,下跤,ē-kha,486
548,下面,下面,ē-bīn,50867
549,下風,風尾,hong-bué/hong-bé,5612
550,下個不停,㴙㴙落,tsha̍p-tsha̍p-lo̍h,13600
551,下個月,後月日,āu gue̍h-ji̍t/āu ge̍h-li̍t,4931
552,下個月,後個月,āu kò gue̍h/āu kò ge̍h,4963
553,下座,細位,sè-uī/suè-uī,7767
554,下班,放工,pàng-kang,3991
555,下班,散工,suànn-kang,8448
556,下班,下班,hā-pan,51105
557,下酒菜,酒配,tsiú-phuè/tsiú-phè,6878
558,下埤頭,下埤頭,Ē-pi-thâu,40027
559,下船,落船,lo̍h-tsûn,9973
560,下蛋,生卵,senn-nn̄g/sinn-nn̄g,1908
561,下蛋,放卵,pàng-nn̄g,4030
562,下雪,落雪,lo̍h-seh,9976
563,下場,下場,hā-tiûnn,52909
564,下棋,行棋,kiânn-kî,2749
565,下鄉,下鄉,hā-hiong,52103
566,下聘,送定,sàng-tiānn,6745
567,下腹部,腹肚尾,pak-tóo-bué/pak-tóo-bé,9938
568,下落,下落,hē-lo̍h,478
569,下葬,落葬,lo̍h-tsòng,9987
570,下載,下載,hā-tsài,50868
571,下獄,坐監,tsē-kann,3058
572,下臺,下台,hā-tâi,53361
573,下墜,落,lo̍k,9896
574,下課,散學,suànn-o̍h,8494
575,下課,下課,hā-khò,53362
576,下賤,卑賤,pi-tsiān,3692
577,下賤,臭賤,tshàu-tsiān,6634
578,下輩子,來世,lâi-sè,3551
579,下輩子,後世人,āu-sì-lâng,4934
580,下輩子,後出世,āu-tshut-sì,4936
581,下營鄉,下營區,Ē-iânn-khu,35227
582,下霜,落霜,lo̍h-sng,10000
583,下顎,下𦜆,ē-ham,217
584,下顎,下頦,ē-hâi,535
585,下顎,下顎,ē-kok,559
586,下顎,喙下斗,tshuì-ē-táu,8208
